episode_id,seat,turn,replay_index,day,money,hands,hires_today,unlocked_quadrants,animals,pastures,plants,wheat_reserve,wheat_shed,fertilizer_shed,milk_shed,wool_shed,wheat_price,strawberry_price,melon_price
92929391,0,384,385,16,13488.0,9,9,3,"{""COW"":3,""GOOSE"":3,""SHEEP"":5}",8,6,54,50,7,0,14,43,195,186
92929391,0,480,481,20,28703.0,10,10,3,"{""COW"":3,""GOOSE"":3,""SHEEP"":6}",9,1,48,44,6,0,0,47,212,192
92929391,0,576,577,24,38314.0,10,10,3,"{""COW"":3,""GOOSE"":3,""SHEEP"":6}",9,1,50,46,4,0,4,52,228,133
92929391,0,719,719,29,54773.0,9,9,3,"{""COW"":3,""GOOSE"":3,""SHEEP"":6}",9,0,10,10,0,0,0,57,242,108
92929391,1,0,1,0,2980.0,6,6,1,{},1,0,0,0,0,0,0,26,128,256
92929391,1,24,25,1,1376.0,6,6,1,"{""SHEEP"":1}",4,19,1,0,0,0,0,29,132,260
92929391,1,96,97,4,1425.0,6,6,1,"{""SHEEP"":1}",4,19,1,0,1,0,0,30,139,266
92929391,1,192,193,8,1970.0,6,6,1,"{""COW"":2,""SHEEP"":2}",4,19,16,11,3,0,0,33,159,270
92929391,1,288,289,12,7988.0,10,10,3,"{""COW"":5,""SHEEP"":4}",9,35,31,21,0,0,6,37,179,195
92929391,1,384,385,16,8798.0,10,10,3,"{""COW"":8,""SHEEP"":6}",14,53,57,42,13,9,4,43,195,186
92929391,1,480,481,20,17140.0,10,10,3,"{""COW"":8,""SHEEP"":6}",14,58,56,41,10,24,6,47,212,192
92929391,1,576,577,24,28596.0,10,10,3,"{""COW"":8,""SHEEP"":6}",14,54,42,27,0,44,4,52,228,133
92929391,1,719,719,29,48720.0,8,8,3,"{""COW"":8,""SHEEP"":6}",14,43,35,0,0,0,0,57,242,108
92930322,0,0,1,0,2306.0,8,8,1,{},0,0,0,0,0,0,0,26,128,256
92930322,0,24,25,1,1332.0,8,8,1,{},0,23,0,0,0,0,0,28,132,260
92930322,0,96,97,4,981.0,8,8,1,"{""COW"":1}",1,24,3,2,0,0,0,30,149,266
92930322,0,192,193,8,721.0,8,8,1,"{""COW"":2}",2,23,6,4,0,0,0,32,173,270
92930322,0,288,289,12,11575.0,8,8,3,"{""COW"":13}",14,20,47,35,0,0,0,39,189,165
92930322,0,384,385,16,1064.0,6,6,3,"{""COW"":13,""SHEEP"":8}",21,15,82,63,0,0,0,48,202,142
92930322,0,480,481,20,13648.0,8,8,3,"{""COW"":12,""SHEEP"":7}",21,11,62,50,0,14,6,52,218,150
92930322,0,576,577,24,34057.0,8,8,3,"{""COW"":11,""SHEEP"":5}",21,12,64,57,0,9,0,56,233,133
92930322,0,719,719,29,59837.0,8,8,3,"{""COW"":10,""SHEEP"":5}",21,1,61,45,0,0,0,61,261,138
92930322,1,0,1,0,1553.0,4,4,1,{},0,0,0,0,0,0,0,26,128,256
92930322,1,24,25,1,779.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,4,7,4,0,0,0,28,132,260
92930322,1,96,97,4,728.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,16,8,5,0,0,0,30,149,266
92930322,1,192,193,8,1693.0,8,8,2,"{""COW"":2,""SHEEP"":2}",4,13,21,17,0,0,0,32,173,270
92930322,1,288,289,12,5045.0,9,9,3,"{""COW"":4,""GOOSE"":1,""SHEEP"":4}",8,6,43,39,3,0,0,39,189,165
92930322,1,384,385,16,13901.0,10,10,3,"{""COW"":5,""GOOSE"":2,""SHEEP"":4}",9,6,52,48,6,0,14,48,202,142
92930322,1,480,481,20,32201.0,10,10,3,"{""COW"":6,""GOOSE"":2,""SHEEP"":4}",10,1,46,42,5,0,0,52,218,150
92930322,1,576,577,24,45381.0,10,10,3,"{""COW"":6,""GOOSE"":2,""SHEEP"":6}",12,1,43,39,2,0,0,56,233,133
92930322,1,719,719,29,72424.0,9,9,3,"{""COW"":6,""GOOSE"":2,""SHEEP"":6}",12,1,10,10,0,0,0,61,261,138
92931235,0,0,1,0,1553.0,4,4,1,{},0,0,0,0,0,0,0,26,128,256
92931235,0,24,25,1,771.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,4,7,4,0,0,0,29,132,260
92931235,0,96,97,4,773.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,16,6,3,0,0,0,31,139,266
92931235,0,192,193,8,1362.0,7,7,2,"{""COW"":2,""SHEEP"":2}",4,13,21,17,0,0,0,34,145,270
92931235,0,288,289,12,5122.0,9,9,3,"{""COW"":4,""GOOSE"":1,""SHEEP"":4}",8,6,43,39,3,0,0,39,163,195
92931235,0,384,385,16,16026.0,9,9,3,"{""COW"":4,""GOOSE"":2,""SHEEP"":4}",8,6,38,34,6,0,10,43,168,186
92931235,0,480,481,20,30459.0,9,9,3,"{""COW"":5,""GOOSE"":2,""SHEEP"":4}",9,1,41,37,5,3,0,46,196,192
92931235,0,576,577,24,41794.0,10,10,3,"{""COW"":5,""GOOSE"":3,""SHEEP"":4}",9,1,38,34,2,3,0,49,222,131
92931235,0,719,719,29,63492.0,9,9,3,"{""COW"":5,""GOOSE"":3,""SHEEP"":4}",9,1,10,10,0,0,0,54,261,4
92931235,1,0,1,0,676.0,3,3,1,{},0,0,0,0,0,0,0,26,128,256
92931235,1,24,25,1,499.0,3,3,1,"{""GOOSE"":2}",0,18,4,0,0,0,0,29,132,260
92931235,1,96,97,4,356.0,3,3,1,"{""GOOSE"":2}",0,23,4,0,5,0,0,31,139,266
92931235,1,192,193,8,836.0,3,3,1,"{""GOOSE"":5}",0,20,9,9,1,0,0,34,145,270
92931235,1,288,289,12,6427.0,3,3,4,"{""COW"":3,""GOOSE"":7,""SHEEP"":3}",6,25,16,1,6,0,0,39,163,195
92931235,1,384,385,16,10131.0,3,3,4,"{""COW"":3,""GOOSE"":7,""SHEEP"":3}",6,55,18,18,2,0,0,43,168,186
92931235,1,480,481,20,13685.0,3,3,4,"{""COW"":3,""GOOSE"":6,""SHEEP"":3}",6,49,21,21,2,0,0,46,196,192
92931235,1,576,577,24,25190.0,3,3,4,"{""COW"":3,""GOOSE"":6,""SHEEP"":3}",6,32,14,14,10,0,0,49,222,131
92931235,1,719,719,29,41916.0,6,6,4,"{""COW"":3,""GOOSE"":5,""SHEEP"":3}",6,5,0,0,1,1,1,54,261,4
92932148,0,0,1,0,1553.0,4,4,1,{},0,0,0,0,0,0,0,26,128,256
92932148,0,24,25,1,771.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,4,7,4,0,0,0,29,132,260
92932148,0,96,97,4,708.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,10,8,5,0,0,0,32,139,266
92932148,0,192,193,8,1686.0,8,8,2,"{""COW"":2,""SHEEP"":2}",4,15,21,17,0,0,0,33,145,270
92932148,0,288,289,12,6051.0,8,8,3,"{""COW"":4,""SHEEP"":4}",8,7,32,28,6,0,0,35,165,250
92932148,0,384,385,16,19819.0,10,10,3,"{""COW"":6,""SHEEP"":4}",10,8,30,26,4,0,5,37,192,232
92932148,0,480,481,20,33929.0,9,9,3,"{""COW"":7,""SHEEP"":4}",11,7,40,36,5,0,0,41,220,218
92932148,0,576,577,24,47401.0,9,9,3,"{""COW"":7,""SHEEP"":4}",11,3,42,38,4,0,4,44,245,171
92932148,0,719,719,29,71343.0,9,9,3,"{""COW"":7,""SHEEP"":5}",12,0,10,10,0,0,0,45,277,106
92932148,1,0,1,0,2057.0,7,7,1,{},1,0,0,0,0,0,0,26,128,256
92932148,1,24,25,1,161.0,8,8,1,"{""COW"":2}",4,20,7,5,0,0,0,29,132,260
92932148,1,96,97,4,494.0,8,8,1,"{""COW"":4}",4,20,8,4,0,0,0,32,139,266
92932148,1,192,193,8,65.0,10,10,2,"{""COW"":4,""GOOSE"":1}",4,36,8,3,0,0,0,33,145,270
92932148,1,288,289,12,5288.0,6,6,3,"{""COW"":8,""GOOSE"":2}",8,63,13,3,0,0,0,35,165,250
92932148,1,384,385,16,21516.0,7,7,3,"{""COW"":12,""GOOSE"":3}",12,58,18,8,0,0,0,37,192,232
92932148,1,480,481,20,42379.0,4,4,3,"{""COW"":12,""GOOSE"":3}",12,56,18,8,0,0,0,41,220,218
92932148,1,576,577,24,73452.0,6,6,3,"{""COW"":12,""GOOSE"":3}",12,58,18,8,0,0,0,44,245,171
92932148,1,719,719,29,110854.0,11,11,3,"{""COW"":12,""GOOSE"":3}",12,3,0,0,0,0,0,45,277,106
92961363,0,0,1,0,7.0,4,4,1,{},0,0,5,5,0,0,0,28,128,256
92961363,0,24,25,1,6.0,1,1,1,"{""COW"":1,""SHEEP"":4}",5,10,0,0,0,0,0,28,132,260
92961363,0,96,97,4,659.0,3,3,1,"{""COW"":1,""SHEEP"":4}",5,14,6,6,0,0,0,32,139,266
92961363,0,192,193,8,565.0,6,6,2,"{""COW"":6,""SHEEP"":4}",10,32,11,11,0,0,0,33,145,270
92961363,0,288,289,12,6266.0,8,8,3,"{""COW"":8,""SHEEP"":4}",12,59,13,13,24,0,0,35,168,228
92961363,0,384,385,16,19987.0,6,6,3,"{""COW"":8,""SHEEP"":4}",12,59,13,13,24,0,0,34,158,232
92961363,0,480,481,20,30236.0,7,7,3,"{""COW"":8,""SHEEP"":4}",12,59,13,13,25,0,0,35,7,235
92961363,0,576,577,24,41601.0,7,7,3,"{""COW"":9,""SHEEP"":4}",13,62,14,14,20,0,0,37,9,10
92961363,0,719,719,29,57462.0,10,10,3,"{""COW"":9,""SHEEP"":4}",13,1,0,0,0,0,0,20,74,25
92961363,1,0,1,0,7.0,4,4,1,{},0,0,5,5,0,0,0,28,128,256
92961363,1,24,25,1,6.0,1,1,1,"{""COW"":1,""SHEEP"":4}",5,10,0,0,0,0,0,28,132,260
92961363,1,96,97,4,659.0,3,3,1,"{""COW"":1,""SHEEP"":4}",5,14,6,6,0,0,0,32,139,266
92961363,1,192,193,8,565.0,6,6,2,"{""COW"":6,""SHEEP"":4}",10,33,11,11,0,0,0,33,145,270
92961363,1,288,289,12,6266.0,8,8,3,"{""COW"":8,""SHEEP"":4}",12,60,13,13,24,0,0,35,168,228
92961363,1,384,385,16,19987.0,6,6,3,"{""COW"":8,""SHEEP"":4}",12,60,13,13,24,0,0,34,158,232
92961363,1,480,481,20,30384.0,7,7,3,"{""COW"":8,""SHEEP"":4}",12,60,13,13,24,0,0,35,7,235
92961363,1,576,577,24,41753.0,7,7,3,"{""COW"":9,""SHEEP"":4}",13,62,14,14,18,0,0,37,9,10
92961363,1,719,719,29,57558.0,10,10,3,"{""COW"":9,""SHEEP"":4}",13,1,0,0,0,0,0,20,74,25
92962819,0,0,1,0,2826.0,8,8,1,{},0,0,0,0,0,0,0,27,128,256
92962819,0,24,25,1,2542.0,8,8,1,{},0,25,0,0,0,0,0,28,132,260
92962819,0,96,97,4,414.0,6,6,1,{},0,25,0,0,0,0,0,30,139,266
92962819,0,192,193,8,724.0,6,6,1,"{""COW"":7}",8,1,17,16,0,0,0,24,159,270
92962819,0,288,289,12,386.0,10,10,1,"{""COW"":10}",10,1,21,21,10,0,0,32,180,247
92962819,0,384,385,16,2500.0,10,10,3,"{""COW"":10,""SHEEP"":3}",14,27,28,27,11,12,0,36,197,248
92962819,0,480,481,20,11126.0,10,10,3,"{""COW"":10,""SHEEP"":4}",14,19,27,26,13,9,0,38,190,249
92962819,0,576,577,24,13488.0,10,10,4,"{""COW"":10,""SHEEP"":4}",14,13,30,29,14,7,6,42,174,171
92962819,0,719,719,29,23513.0,10,10,4,"{""COW"":10,""SHEEP"":4}",14,18,21,20,0,0,0,40,211,48
92962819,1,0,1,0,10.0,4,4,1,{},0,0,5,5,0,0,0,27,128,256
92962819,1,24,25,1,9.0,1,1,1,"{""COW"":1,""SHEEP"":4}",5,10,0,0,0,0,0,28,132,260
92962819,1,96,97,4,704.0,3,3,1,"{""COW"":1,""SHEEP"":4}",5,14,6,6,0,0,0,30,139,266
92962819,1,192,193,8,1242.0,6,6,2,"{""COW"":6,""SHEEP"":4}",10,33,11,11,0,0,0,24,159,270
92962819,1,288,289,12,9239.0,8,8,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,32,180,247
92962819,1,384,385,16,29473.0,6,6,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,36,197,248
92962819,1,480,481,20,55585.0,7,7,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,38,190,249
92962819,1,576,577,24,100042.0,7,7,3,"{""COW"":9,""SHEEP"":4}",13,62,14,14,18,0,0,42,174,171
92962819,1,719,719,29,132592.0,10,10,3,"{""COW"":9,""SHEEP"":4}",13,1,0,0,0,0,0,40,211,48
92963734,0,0,1,0,2.0,4,4,1,{},0,0,5,5,0,0,0,29,128,256
92963734,0,24,25,1,1.0,1,1,1,"{""COW"":1,""SHEEP"":4}",5,10,0,0,0,0,0,29,132,260
92963734,0,96,97,4,651.0,3,3,1,"{""COW"":1,""SHEEP"":4}",5,14,6,6,0,0,0,32,149,266
92963734,0,192,193,8,732.0,6,6,2,"{""COW"":6,""SHEEP"":4}",10,33,11,11,0,0,0,36,181,270
92963734,0,288,289,12,6931.0,8,8,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,41,206,148
92963734,0,384,385,16,21946.0,6,6,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,45,221,156
92963734,0,480,481,20,52844.0,7,7,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,50,225,99
92963734,0,576,577,24,87343.0,7,7,3,"{""COW"":9,""SHEEP"":4}",13,62,14,14,18,0,0,53,218,10
92963734,0,719,719,29,119047.0,10,10,3,"{""COW"":9,""SHEEP"":4}",13,1,0,0,0,0,0,51,233,7
92963734,1,0,1,0,484.0,0,0,1,{},0,0,8,8,0,0,0,29,128,256
92963734,1,24,25,1,10.0,2,2,1,"{""SHEEP"":3}",3,14,10,7,0,0,0,29,132,260
92963734,1,96,97,4,568.0,4,4,1,"{""SHEEP"":3}",3,14,11,8,0,0,0,32,149,266
92963734,1,192,193,8,13.0,3,3,2,"{""COW"":6,""SHEEP"":3}",9,19,16,8,0,0,0,36,181,270
92963734,1,288,289,12,9189.0,6,6,4,"{""COW"":14}",20,8,22,14,0,0,0,41,206,148
92963734,1,384,385,16,7066.0,7,7,4,"{""COW"":21,""SHEEP"":1}",23,34,22,20,0,0,0,45,221,156
92963734,1,480,481,20,26694.0,6,6,4,"{""COW"":21}",23,54,22,14,0,0,0,50,225,99
92963734,1,576,577,24,44412.0,6,6,4,"{""COW"":21}",23,62,22,14,0,0,0,53,218,10
92963734,1,719,719,29,60041.0,0,0,4,"{""COW"":7}",23,0,15,8,0,0,0,51,233,7
92964659,0,0,1,0,2857.0,10,10,1,{},1,0,0,0,0,0,0,27,128,256
92964659,0,24,25,1,148.0,8,8,1,"{""COW"":1,""SHEEP"":1}",7,18,2,2,0,0,0,28,132,260
92964659,0,96,97,4,137.0,5,5,1,"{""COW"":1,""SHEEP"":1}",7,17,0,0,5,0,0,30,139,266
92964659,0,192,193,8,147.0,8,8,1,"{""COW"":3,""SHEEP"":1}",8,16,3,3,4,0,0,31,145,270
92964659,0,288,289,12,369.0,10,10,4,"{""COW"":3,""SHEEP"":16}",25,45,6,6,8,0,0,34,167,171
92964659,0,384,385,16,907.0,10,10,4,"{""COW"":3,""SHEEP"":20}",34,51,29,29,20,12,4,37,176,178
92964659,0,480,481,20,21862.0,10,10,4,"{""COW"":3,""SHEEP"":20}",34,52,28,28,31,6,0,40,157,184
92964659,0,576,577,24,41546.0,10,10,4,"{""COW"":3,""SHEEP"":25}",34,53,16,16,26,2,21,43,16,7
92964659,0,719,719,29,74800.0,0,0,4,"{""COW"":3,""SHEEP"":25}",34,22,0,0,0,0,0,36,91,4
92964659,1,0,1,0,10.0,4,4,1,{},0,0,5,5,0,0,0,27,128,256
92964659,1,24,25,1,9.0,1,1,1,"{""COW"":1,""SHEEP"":4}",5,10,0,0,0,0,0,28,132,260
92964659,1,96,97,4,697.0,3,3,1,"{""COW"":1,""SHEEP"":4}",5,14,6,6,0,0,0,30,139,266
92964659,1,192,193,8,1341.0,6,6,2,"{""COW"":6,""SHEEP"":4}",10,33,11,11,0,0,0,31,145,270
92964659,1,288,289,12,9558.0,8,8,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,34,167,171
92964659,1,384,385,16,29198.0,6,6,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,37,176,178
92964659,1,480,481,20,51349.0,7,7,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,40,157,184
92964659,1,576,577,24,71873.0,7,7,3,"{""COW"":9,""SHEEP"":4}",13,62,14,14,18,0,0,43,16,7
92964659,1,719,719,29,95380.0,10,10,3,"{""COW"":9,""SHEEP"":4}",13,1,0,0,0,0,0,36,91,4
92965591,0,0,1,0,10.0,4,4,1,{},0,0,5,5,0,0,0,27,128,256
92965591,0,24,25,1,9.0,1,1,1,"{""COW"":1,""SHEEP"":4}",5,10,0,0,0,0,0,28,132,260
92965591,0,96,97,4,657.0,3,3,1,"{""COW"":1,""SHEEP"":4}",5,14,6,6,0,0,0,32,139,266
92965591,0,192,193,8,667.0,6,6,2,"{""COW"":6,""SHEEP"":4}",10,33,11,11,0,0,0,35,159,270
92965591,0,288,289,12,5668.0,8,8,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,39,180,171
92965591,0,384,385,16,15691.0,6,6,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,42,197,178
92965591,0,480,481,20,31032.0,7,7,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,46,166,184
92965591,0,576,577,24,50076.0,7,7,3,"{""COW"":9,""SHEEP"":4}",13,62,14,14,18,0,0,49,7,7
92965591,0,719,719,29,68820.0,10,10,3,"{""COW"":9,""SHEEP"":4}",13,1,0,0,0,0,0,48,37,16
92965591,1,0,1,0,158.0,5,5,1,{},0,0,0,0,0,0,0,27,128,256
92965591,1,24,25,1,6.0,5,5,1,"{""COW"":2,""SHEEP"":2}",4,19,3,3,0,0,0,28,132,260
92965591,1,96,97,4,653.0,6,6,1,"{""COW"":2,""SHEEP"":2}",4,19,4,0,0,0,0,32,139,266
92965591,1,192,193,8,485.0,8,8,2,"{""COW"":4,""SHEEP"":2}",6,32,6,3,0,0,0,35,159,270
92965591,1,288,289,12,12601.0,8,8,3,"{""COW"":8,""SHEEP"":6}",14,42,14,10,0,0,0,39,180,171
92965591,1,384,385,16,16939.0,9,9,3,"{""COW"":8,""SHEEP"":6}",14,50,14,10,0,0,0,42,197,178
92965591,1,480,481,20,22210.0,7,7,3,"{""COW"":8,""SHEEP"":6}",14,52,14,10,14,0,0,46,166,184
92965591,1,576,577,24,22757.0,7,7,3,"{""COW"":8,""SHEEP"":6}",14,34,14,10,13,0,0,49,7,7
92965591,1,719,719,29,29772.0,12,12,3,"{""COW"":8,""SHEEP"":6}",14,3,0,0,0,0,0,48,37,16
92966513,0,0,1,0,19.0,5,5,1,{},1,0,5,5,0,0,0,28,128,256
92966513,0,24,25,1,47.0,0,0,1,"{""COW"":2,""SHEEP"":2}",6,19,0,0,0,0,0,28,132,260
92966513,0,96,97,4,625.0,4,4,1,"{""COW"":2,""SHEEP"":2}",6,17,8,4,0,0,0,32,149,266
92966513,0,192,193,8,224.0,5,5,2,"{""COW"":4,""SHEEP"":2}",12,29,11,7,0,0,0,34,173,270
92966513,0,288,289,12,10808.0,7,7,3,"{""COW"":7,""SHEEP"":5}",14,57,17,17,0,0,0,38,198,181
92966513,0,384,385,16,14478.0,7,7,3,"{""COW"":7,""SHEEP"":6}",14,61,18,18,19,0,0,40,212,178
92966513,0,480,481,20,24086.0,6,6,3,"{""COW"":7,""SHEEP"":6}",14,61,18,18,20,0,0,42,178,184
92966513,0,576,577,24,28380.0,7,7,3,"{""COW"":7,""SHEEP"":6}",14,51,18,18,20,0,0,45,9,10
92966513,0,719,719,29,32484.0,8,8,3,"{""COW"":8,""SHEEP"":6}",14,2,21,0,0,0,0,39,66,25
92966513,1,0,1,0,10.0,4,4,1,{},0,0,5,5,0,0,0,28,128,256
92966513,1,24,25,1,9.0,1,1,1,"{""COW"":1,""SHEEP"":4}",5,10,0,0,0,0,0,28,132,260
92966513,1,96,97,4,667.0,3,3,1,"{""COW"":1,""SHEEP"":4}",5,14,6,6,0,0,0,32,149,266
92966513,1,192,193,8,852.0,6,6,2,"{""COW"":6,""SHEEP"":4}",10,33,11,11,0,0,0,34,173,270
92966513,1,288,289,12,7132.0,8,8,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,38,198,181
92966513,1,384,385,16,16669.0,6,6,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,40,212,178
92966513,1,480,481,20,31646.0,7,7,3,"{""COW"":8,""SHEEP"":4}",12,63,13,13,24,0,0,42,178,184
92966513,1,576,577,24,47285.0,7,7,3,"{""COW"":9,""SHEEP"":4}",13,62,14,14,18,0,0,45,9,10
92966513,1,719,719,29,60589.0,10,10,3,"{""COW"":9,""SHEEP"":4}",13,1,0,0,0,0,0,39,66,25
92967433,0,0,1,0,10.0,4,4,1,{},0,0,5,5,0,0,0,28,128,256
92967433,0,24,25,1,9.0,1,1,1,"{""COW"":1,""SHEEP"":4}",5,10,0,0,0,0,0,28,132,260
92967433,0,96,97,4,665.0,3,3,1,"{""COW"":1,""SHEEP"":4}",5,14,6,6,0,0,0,32,149,266
92967433,0,192,193,8,663.0,6,6,2,"{""COW"":6,""SHEEP"":4}",10,32,11,11,0,0,0,35,173,270
92967433,0,288,289,12,6663.0,8,8,3,"{""COW"":8,""SHEEP"":4}",12,62,13,13,24,0,0,39,189,171
92967433,0,384,385,16,18703.0,6,6,3,"{""COW"":8,""SHEEP"":4}",12,62,13,13,24,0,0,42,193,178
92967433,0,480,481,20,34418.0,7,7,3,"{""COW"":8,""SHEEP"":4}",12,62,13,13,25,0,0,44,158,84
92967433,0,576,577,24,43311.0,7,7,3,"{""COW"":9,""SHEEP"":4}",13,62,14,14,20,0,0,47,9,10
92967433,0,719,719,29,57513.0,10,10,3,"{""COW"":9,""SHEEP"":4}",13,1,0,0,0,0,0,42,57,25
92967433,1,0,1,0,19.0,5,5,1,{},1,0,5,5,0,0,0,28,128,256
